Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000261456	TUBB8	10	-	46892	74163	0.252600	0.077066	0.184969
ENSG00000015171	ZMYND11	10	+	134465	254637	7.521180	20.261099	48.629547
ENSG00000276662	AL713922.2	10	-	147820	148751	0.000000	0.000000	0.000000
ENSG00000212331	RNA5SP297	10	-	154831	154943	0.000000	0.000000	0.000000
ENSG00000151240	DIP2C	10	-	274190	689668	15.996358	4.648543	11.157170
ENSG00000201861	RNA5SP298	10	-	282015	282125	1.000000	0.183197	0.439700
ENSG00000239822	RN7SL754P	10	-	430239	430504	0.000000	0.000000	0.000000
ENSG00000233021	AL669841.1	10	+	437561	441170	0.000000	0.000000	0.000000
ENSG00000225140	AL358216.1	10	+	628638	631255	1.051298	0.192595	0.462256
ENSG00000263511	MIR5699	10	-	641689	641778	0.000000	0.000000	0.000000
ENSG00000180525	PRR26	10	+	649948	669581	0.983670	0.229843	0.551657
ENSG00000229869	AL359878.2	10	+	933026	942743	0.000000	0.000000	0.000000
ENSG00000107929	LARP4B	10	-	806914	931705	6.874870	7.391023	17.739515
ENSG00000231743	AC026396.1	10	+	2936021	2936441	0.237530	0.043515	0.104442
ENSG00000205740	AL359878.1	10	-	971146	988341	0.646454	0.189394	0.454574
ENSG00000107937	GTPBP4	10	+	988434	1019932	24.614429	9.870761	23.691246
ENSG00000148377	IDI2	10	-	1018910	1025859	0.000000	0.000000	0.000000
ENSG00000232656	IDI2-AS1	10	+	1022666	1044201	0.109322	0.028521	0.068455
ENSG00000067064	IDI1	10	-	1039152	1049170	43.873768	17.779011	42.672176
ENSG00000047056	WDR37	10	+	1049538	1132384	4.118924	4.523757	10.857666
ENSG00000229205	LINC00200	10	+	1159768	1180923	0.000000	0.000000	0.000000
ENSG00000185736	ADARB2	10	-	1177313	1737525	0.082512	0.187824	0.450805
ENSG00000282390	AL392083.1	10	-	1290018	1293002	0.000000	0.000000	0.000000
ENSG00000233052	AL513304.1	10	-	1361001	1361637	0.000000	0.000000	0.000000
ENSG00000205696	ADARB2-AS1	10	+	1526637	1556984	0.000000	0.000000	0.000000
ENSG00000229672	AL450322.2	10	+	3751067	3763226	0.000000	0.000000	0.000000
ENSG00000228353	AL450322.1	10	+	3767915	3768751	2.143770	0.392733	0.942616
ENSG00000226005	LINC02660	10	+	3912027	3935813	0.188091	0.051711	0.124114
ENSG00000231298	MANCR	10	-	4650185	4678154	2.324479	0.622558	1.494228
ENSG00000225269	LINC00705	10	+	4655427	4662419	0.000000	0.000000	0.000000
ENSG00000067082	KLF6	10	-	3775996	3785281	82.210136	20.724834	49.742580
